index,year_made,fuel_type,seats,mileage,ownership,transmission,fuel_economy,engine(cc),horsepower,torque(Nm),price,Make,Model
301,14,Petrol,5,30413,1,Manual,19.1,1197,1197,858,5548.5,Maruti,Swift
302,17,Diesel,5,27028,2,Automatic,18.56,1995,1995,190,40365,BMW,X3
303,20,Diesel,5,18641,1,Manual,1493,986,986,24026,10530,Hyundai,Venue
304,17,Petrol,7,44738,1,Automatic,12.81,1997,1997,23736,43875,Land,Rover
305,17,Petrol,5,44341,1,Manual,18.6,1197,1197,8183,7451.999999999999,Hyundai,i20
306,17,Diesel,5,37592,1,Automatic,20.68,1995,1995,188,26932.5,BMW,X1
307,20,Petrol,5,18641,1,Automatic,14.11,1984,1984,2413,66825,Audi,A6
308,18,Diesel,5,39767,1,Manual,21.7,1498,1498,9896,10786.5,Ford,Ecosport
309,13,Petrol,5,16155,2,Automatic,11.9,1595,1595,1207,16807.5,Mercedes-Benz,B
310,16,Petrol,5,37282,1,Automatic,14.7,1496,1496,12069,8761.5,Ford,Ecosport
311,21,Petrol,5,17398,1,Automatic,1984,18774,18774,320,35775,Audi,Q2
312,11,Petrol,5,55303,1,Manual,17.5,1197,1197,858,3199.5,Maruti,Swift
313,18,Petrol,5,22951,1,Manual,21.4,1197,1197,831,8640,Maruti,Baleno
314,19,Diesel,7,26097,1,Manual,13.68,2393,2393,14751,25312.5,Toyota,Innova
315,19,Diesel,5,34175,1,Automatic,20.37,1995,1995,18774,56025,BMW,5
316,19,Petrol,5,43738,2,Manual,21.01,1197,1197,8180,6912,Maruti,Baleno
317,14,Petrol,5,34796,1,Manual,16.3,1797,1797,1475,6682.5,Hyundai,Elantra
318,16,Petrol,5,32429,1,Manual,18.9,1197,1197,82,5818.499999999999,Hyundai,Grand
319,20,Diesel,5,24854,1,Automatic,11.78,2143,2143,16762,13486.5,Mercedes-Benz,C-Class
320,18,Diesel,5,44738,1,Automatic,20.38,1968,1968,143,27000,Audi,A3
321,13,Petrol,5,29933,1,Manual,998,671,671,90,3888,Maruti,Wagon
322,20,Petrol,5,68350,2,Automatic,12.05,1995,1995,154,9855,BMW,3
323,20,Petrol,5,31068,1,Manual,16.8,1497,1497,1163,4576.5,Honda,City
324,19,Diesel,5,27422,2,Automatic,17.9,2143,2143,1341,36315,Mercedes-Benz,CLA
325,20,Petrol,5,55923,3,Manual,17.4,1497,1497,1173,6412.5,Honda,City
326,20,Diesel,7,30447,1,Automatic,12.4,1996,1996,16762,45225,Ford,Endeavour
327,21,Petrol,5,17398,1,Automatic,1984,18774,18774,320,35775,Audi,Q2
328,11,Petrol,5,55303,1,Manual,17.5,1197,1197,858,3199.5,Maruti,Swift
329,19,Petrol,5,17518,1,Manual,18.27,998,998,11835,12190.5,Hyundai,Venue
330,19,Petrol,5,21437,1,Automatic,15.01,1998,1998,24808,70200,BMW,5
331,19,Diesel,5,31444,2,Automatic,16.1,1950,1950,1917,53865,Mercedes-Benz,E-Class
332,18,Petrol,5,22951,1,Manual,21.4,1197,1197,831,8640,Maruti,Baleno
333,19,Diesel,7,26097,1,Manual,13.68,2393,2393,14751,25312.5,Toyota,Innova
334,19,Diesel,5,34175,1,Automatic,20.37,1995,1995,18774,56025,BMW,5
335,19,Petrol,5,43738,2,Manual,21.01,1197,1197,8180,6912,Maruti,Baleno
336,14,Petrol,5,34796,1,Manual,16.3,1797,1797,1475,6682.5,Hyundai,Elantra
337,16,Petrol,5,32429,1,Manual,18.9,1197,1197,82,5818.499999999999,Hyundai,Grand
338,20,Diesel,5,24854,1,Automatic,11.78,2143,2143,16762,13486.5,Mercedes-Benz,C-Class
339,18,Diesel,5,44738,1,Automatic,20.38,1968,1968,143,27000,Audi,A3
340,13,Petrol,5,29933,1,Manual,998,671,671,90,3888,Maruti,Wagon
341,20,Petrol,5,68350,2,Automatic,12.05,1995,1995,154,9855,BMW,3
342,20,Petrol,5,31068,1,Manual,16.8,1497,1497,1163,4576.5,Honda,City
343,19,Diesel,5,27422,2,Automatic,17.9,2143,2143,1341,36315,Mercedes-Benz,CLA
344,20,Petrol,5,55923,3,Manual,17.4,1497,1497,1173,6412.5,Honda,City
345,20,Diesel,7,30447,1,Automatic,12.4,1996,1996,16762,45225,Ford,Endeavour
346,17,Diesel,7,43495,2,Automatic,12.07,2967,2967,2414,54000,Audi,Q7
347,15,Petrol,5,30659,1,Manual,15.29,1591,1591,1213,11367,Hyundai,Creta
348,18,Diesel,7,34175,1,Automatic,13.8,2999,2999,175,25582.5,Isuzu,MU-X
349,19,Diesel,5,34710,1,Manual,22.1,1396,1396,887,13864.5,Hyundai,Creta
350,18,Petrol,7,47224,2,Automatic,9.17,2995,2995,33525,66825,Land,Rover
351,18,Diesel,7,42253,1,Manual,13.68,2393,2393,14751,19237.5,Toyota,Innova
352,14,Petrol,5,32662,1,Manual,17.8,1198,1198,867,5629.5,Honda,Amaze
353,18,Diesel,5,44738,1,Automatic,18,1969,1969,190,39892.5,Volvo,S90
354,17,Diesel,7,43495,2,Automatic,14.75,2967,2967,245,54000,Audi,Q7
355,19,Petrol,5,45406,1,Manual,18.9,1197,1197,8186,6655.5,Hyundai,Grand
356,19,Diesel,5,27961,1,Manual,16.35,1956,1956,16767,18562.5,Tata,Harrier
357,14,Petrol,5,56541,1,Manual,1197,82,82,114,4522.5,Hyundai,Grand
358,20,Petrol,5,18641,1,Automatic,23.01,999,999,67,4522.5,Renault,KWID
359,20,Diesel,5,49709,1,Automatic,1498,986,986,200,6412.5,Honda,City
360,14,Petrol,5,26312,2,Manual,20.51,998,998,6704,4063.4999999999995,Maruti,Wagon
361,20,Petrol,5,19337,1,Automatic,18,1497,1497,1176,15525,Honda,City
362,20,Diesel,5,62137,1,Automatic,22.32,1582,1582,12632,5332.5,Hyundai,Verna
363,20,Petrol,5,20815,1,Automatic,17.8,1496,1496,1055,10125,Toyota,Yaris
364,15,CNG,5,39767,1,Manual,1197,82,82,114,5737.5,Hyundai,Grand
365,20,Petrol,5,68350,1,Automatic,1497,1186600,1186600,1464800,4725,Honda,City
366,17,Diesel,7,43495,2,Automatic,12.07,2967,2967,2414,54000,Audi,Q7
367,15,Petrol,5,30659,1,Manual,15.29,1591,1591,1213,11367,Hyundai,Creta
368,18,Diesel,7,34175,1,Automatic,13.8,2999,2999,175,25582.5,Isuzu,MU-X
369,19,Diesel,5,34710,1,Manual,22.1,1396,1396,887,13864.5,Hyundai,Creta
370,18,Petrol,7,47224,2,Automatic,9.17,2995,2995,33525,66825,Land,Rover
371,18,Diesel,7,42253,1,Manual,13.68,2393,2393,14751,19237.5,Toyota,Innova
372,14,Petrol,5,32662,1,Manual,17.8,1198,1198,867,5629.5,Honda,Amaze
373,18,Diesel,5,44738,1,Automatic,18,1969,1969,190,39892.5,Volvo,S90
374,17,Diesel,7,43495,2,Automatic,14.75,2967,2967,245,54000,Audi,Q7
375,19,Petrol,5,45406,1,Manual,18.9,1197,1197,8186,6655.5,Hyundai,Grand
376,19,Diesel,5,27961,1,Manual,16.35,1956,1956,16767,18562.5,Tata,Harrier
377,14,Petrol,5,56541,1,Manual,1197,82,82,114,4522.5,Hyundai,Grand
378,20,Petrol,5,18641,1,Automatic,23.01,999,999,67,4522.5,Renault,KWID
379,20,Diesel,5,49709,1,Automatic,1498,986,986,200,6412.5,Honda,City
380,14,Petrol,5,26312,2,Manual,20.51,998,998,6704,4063.4999999999995,Maruti,Wagon
381,20,Petrol,5,19337,1,Automatic,18,1497,1497,1176,15525,Honda,City
382,20,Diesel,5,62137,1,Automatic,22.32,1582,1582,12632,5332.5,Hyundai,Verna
383,20,Petrol,5,20815,1,Automatic,17.8,1496,1496,1055,10125,Toyota,Yaris
384,15,CNG,5,39767,1,Manual,1197,82,82,114,5737.5,Hyundai,Grand
385,20,Petrol,5,68350,1,Automatic,1497,1186600,1186600,1464800,4725,Honda,City
386,22,Petrol,4,2485,1,Automatic,11.86,2998,2998,33525,1687.5,BMW,7
387,12,Petrol,5,30407,2,Manual,19,998,998,661,3159,Maruti,A-Star
388,19,Petrol,7,14291,2,Automatic,10.2,2360,2360,16494,26325,Mitsubishi,Outlander
389,17,Petrol,5,38409,1,Manual,21.4,1197,1197,831,7114.499999999999,Maruti,Baleno
390,19,Diesel,5,38525,2,Automatic,13.38,2993,2993,26150,64772.99999999999,BMW,X5
391,20,Petrol,5,24854,1,Automatic,17.21,1197,1197,1035,13500,Volkswagen,Polo
392,20,Petrol,5,18765,1,Manual,18.27,998,998,11835,12487.5,Hyundai,Venue
393,20,Petrol,5,21203,1,Automatic,14.67,1798,1798,17746,41175,Skoda,Superb
394,22,Petrol,5,9941,1,Automatic,2996,38487,38487,520,112050,Mercedes-Benz,AMG
395,18,Diesel,5,17799,1,Manual,24.3,1248,1248,885,10408.5,Maruti,Vitara
396,15,Diesel,5,30405,2,Automatic,17.11,1968,1968,17433,21262.5,Audi,A4
397,16,Petrol,5,37884,1,Automatic,13,1591,1591,1213,12690,Hyundai,Creta
398,20,Petrol,5,31068,1,Automatic,13,1591,1591,1213,10462.5,Hyundai,Creta
399,18,Diesel,7,34796,1,Manual,14.24,2755,2755,1745,37125,Toyota,Fortuner
400,18,Petrol,5,25120,1,Manual,18.9,1197,1197,8186,7236,Hyundai,Grand
401,19,Petrol,5,33686,1,Manual,20.73,1373,1373,911,10665,Maruti,Ciaz
402,20,Diesel,7,12427,1,Automatic,1996,16762,16762,420,43200,Ford,Endeavour
403,11,Petrol,5,52816,2,Manual,14.53,1798,1798,1381,3712.5,Toyota,Corolla
404,16,Diesel,8,56544,2,Manual,13.68,2393,2393,14751,16200,Toyota,Innova
405,16,Petrol,5,29204,1,Manual,18.9,1197,1197,82,5197.5,Hyundai,Grand
406,15,Petrol,5,33945,1,Automatic,18,1497,1497,1173,9261,Honda,City
407,16,Diesel,7,44876,2,Automatic,14.75,2967,2967,245,47115,Audi,Q7
408,20,Petrol,5,25548,1,Automatic,18,1497,1497,1176,14026.5,Honda,City
409,19,Petrol,5,2485,1,Automatic,12.65,1997,1997,29636,1485.0000000000002,Land,Rover
410,17,Petrol,5,12427,1,Automatic,9.43,1999,1999,2374,93150,Jaguar,XJ
411,23,Petrol,5,18331,1,Manual,19.33,1199,1199,8683,10206,Tata,Altroz
412,14,Diesel,5,82332,1,Automatic,15.97,2993,2993,258,16483.5,BMW,X5
413,17,Diesel,5,21747,1,Automatic,13,2143,2143,204,32264.999999999996,Mercedes-Benz,E-Class
414,17,Diesel,5,35081,2,Manual,25.5,1498,1498,986,7708.5,Honda,WR-V
415,18,Petrol,5,31068,1,Automatic,19.12,1373,1373,911,9787.5,Maruti,Ciaz
416,18,Petrol,5,38311,1,Manual,21.4,1197,1197,831,8005.5,Maruti,Baleno
417,20,Petrol,5,31068,1,Automatic,18,1497,1497,1173,8775,Honda,City
418,17,Petrol,5,41631,1,Manual,20.73,1373,1373,911,8437.5,Maruti,Ciaz
419,16,Petrol,5,65211,1,Manual,18.6,1197,1197,8183,6223.5,Hyundai,i20
420,17,Petrol,5,12427,1,Automatic,9.43,1999,1999,2374,70200,Jaguar,XJ
421,20,Petrol,5,6213,1,Manual,17,1497,1497,11342,20533.5,Kia,Seltos
422,14,Diesel,5,95691,2,Automatic,11.74,2987,2987,2548,23625,Mercedes-Benz,M-Class
423,16,Petrol,5,28583,1,Automatic,19.16,2494,2494,1577,27675,Toyota,Camry
424,15,Petrol,5,55923,1,Manual,1497,1173,1173,145,7627.500000000001,Honda,City
425,16,Petrol,5,29204,1,Manual,18.9,1197,1197,82,5197.5,Hyundai,Grand
426,15,Petrol,5,33945,1,Automatic,18,1497,1497,1173,9261,Honda,City
427,16,Diesel,7,44876,2,Automatic,14.75,2967,2967,245,47115,Audi,Q7
428,20,Petrol,5,25548,1,Automatic,18,1497,1497,1176,14026.5,Honda,City
429,19,Petrol,5,2485,1,Automatic,12.65,1997,1997,29636,1485.0000000000002,Land,Rover
430,17,Petrol,5,12427,1,Automatic,9.43,1999,1999,2374,93150,Jaguar,XJ
431,23,Petrol,5,18331,1,Manual,19.33,1199,1199,8683,10206,Tata,Altroz
432,14,Diesel,5,82332,1,Automatic,15.97,2993,2993,258,16483.5,BMW,X5
433,17,Diesel,5,21747,1,Automatic,13,2143,2143,204,32264.999999999996,Mercedes-Benz,E-Class
434,17,Diesel,5,35081,2,Manual,25.5,1498,1498,986,7708.5,Honda,WR-V
435,18,Petrol,5,31068,1,Automatic,19.12,1373,1373,911,9787.5,Maruti,Ciaz
436,18,Petrol,5,38311,1,Manual,21.4,1197,1197,831,8005.5,Maruti,Baleno
437,20,Petrol,5,31068,1,Automatic,18,1497,1497,1173,8775,Honda,City
438,17,Petrol,5,41631,1,Manual,20.73,1373,1373,911,8437.5,Maruti,Ciaz
439,16,Petrol,5,65211,1,Manual,18.6,1197,1197,8183,6223.5,Hyundai,i20
440,17,Petrol,5,12427,1,Automatic,9.43,1999,1999,2374,70200,Jaguar,XJ
441,20,Petrol,5,6213,1,Manual,17,1497,1497,11342,20533.5,Kia,Seltos
442,14,Diesel,5,95691,2,Automatic,11.74,2987,2987,2548,23625,Mercedes-Benz,M-Class
443,16,Petrol,5,28583,1,Automatic,19.16,2494,2494,1577,27675,Toyota,Camry
444,15,Petrol,5,55923,1,Manual,1497,1173,1173,145,7627.500000000001,Honda,City
445,20,Diesel,5,24233,2,Automatic,20.38,1968,1968,143,30375,Audi,A3
446,17,Petrol,5,40219,1,Automatic,13,1591,1591,1213,13324.499999999998,Hyundai,Creta
447,18,Diesel,5,40389,1,Manual,21.19,1396,1396,8873,8775,Hyundai,i20
448,13,Petrol,5,27735,2,Manual,19.4,1198,1198,868,3550.5,Honda,Brio
449,15,Diesel,7,62137,2,Automatic,12.55,2982,2982,1685,20925,Toyota,Fortuner
450,21,Diesel,5,14674,1,Automatic,12.6,1950,1950,194,59265,Mercedes-Benz,C-Class
451,14,Petrol,5,66910,1,Manual,19.1,1197,1197,82,4576.5,Hyundai,Xcent
452,22,Petrol,5,5903,1,Automatic,1991,30173,30173,400,76275,Mercedes-Benz,AMG
453,19,Petrol,7,29515,1,Automatic,12.81,1997,1997,23736,58050,Land,Rover
454,11,Petrol,5,63326,2,Manual,16.47,1198,1198,739,3496.5,Volkswagen,Polo
455,23,Petrol,5,385,1,Manual,1197,8180,8180,1138,8977.5,Hyundai,Grand
456,19,Petrol,5,28276,1,Manual,21.01,1197,1197,8180,8761.5,Maruti,Baleno
457,15,Diesel,4,36039,1,Automatic,16.77,2967,2967,24674,40162.5,Audi,A8
458,22,Diesel,5,4349,1,Automatic,2925,28161,28161,600,2092.5,Mercedes-Benz,S-Class
459,15,Petrol,5,46040,2,Automatic,16.5,1499,1499,110,7249.5,Ford,Ecosport
460,22,Petrol,5,5250,1,Automatic,19,5,5,,97065.00000000001,BMW,X3
461,18,Petrol,4,24854,1,Automatic,7.81,4663,4663,459,1471.5,Mercedes-Benz,S-Class
462,10,Petrol,5,48270,2,Manual,796,463,463,62,2079,Maruti,Alto
463,22,Petrol,5,14229,1,Automatic,13.47,1984,1984,24559,73980,Audi,Q5
464,20,Diesel,5,6213,1,Automatic,147.51,320,320,17,56700,Mercedes-Benz,A-Class
465,22,Diesel,7,11806,2,Automatic,2925,3.26E+12,3.26E+12,700,1552.4999999999998,Mercedes-Benz,GLS
466,14,Petrol,5,46507,2,Manual,18.9,1197,1197,82,4185,Hyundai,Grand
467,22,Petrol,5,2796,1,Manual,22.35,1197,1197,8850,10192.5,Toyota,Glanza
468,12,Petrol,5,60721,3,Manual,18.5,1197,1197,805200,3064.5,Hyundai,i20
469,23,Petrol,5,5592,1,Automatic,12.1,1998,1998,26530,94500,Jeep,Wrangler
470,20,Petrol,5,11806,1,Automatic,8.9,2999,2999,435,106636.5,Mercedes-Benz,AMG
471,15,Petrol,5,49512,1,Automatic,18,1497,1497,1173,8572.5,Honda,City
472,22,Petrol,5,16155,1,Automatic,22.61,1197,1197,8850,10732.5,Maruti,Swift
473,16,Diesel,5,43495,2,Automatic,20.68,1995,1995,188,20925,BMW,X1
474,19,Petrol,5,53152,1,Automatic,16.5,1353,1353,13808,18711,Kia,Seltos
475,20,Petrol,5,6213,1,Manual,1197,12873,12873,230,15794.999999999998,Mahindra,XUV300
476,19,Petrol,5,31174,1,Manual,21.01,1197,1197,8180,9274.5,Maruti,Baleno
477,20,Diesel,7,27340,1,Automatic,13.38,2993,2993,26150,132975,BMW,X7
478,22,Diesel,5,2485,1,Automatic,12.6,1950,1950,194,76612.5,Mercedes-Benz,C-Class
479,15,Petrol,5,23092,2,Manual,998,671,671,90,4293,Maruti,Wagon
480,22,Petrol,5,13050,1,Automatic,1451,141,141,250,25312.5,MG,Hector
481,18,Diesel,5,30447,1,Automatic,16.55,1995,1995,1877,52650,BMW,X3
482,11,Petrol,5,55337,2,Automatic,16.98,998,998,661,3050.9999999999995,Maruti,A-Star
483,21,Petrol,5,7456,1,Automatic,11.9,1950,1950,20115,60075,Mercedes-Benz,C-Class
484,22,Petrol,5,6835,1,Automatic,18.76,1462,1462,10326,13486.5,Maruti,Vitara
485,22,Diesel,7,11806,2,Automatic,2925,3.26E+12,3.26E+12,700,1552.4999999999998,Mercedes-Benz,GLS
486,14,Petrol,5,46507,2,Manual,18.9,1197,1197,82,4185,Hyundai,Grand
487,22,Petrol,5,2796,1,Manual,22.35,1197,1197,8850,10192.5,Toyota,Glanza
488,12,Petrol,5,60721,3,Manual,18.5,1197,1197,805200,3064.5,Hyundai,i20
489,23,Petrol,5,5592,1,Automatic,12.1,1998,1998,26530,94500,Jeep,Wrangler
490,20,Petrol,5,11806,1,Automatic,8.9,2999,2999,435,106636.5,Mercedes-Benz,AMG
491,15,Petrol,5,49512,1,Automatic,18,1497,1497,1173,8572.5,Honda,City
492,22,Petrol,5,16155,1,Automatic,22.61,1197,1197,8850,10732.5,Maruti,Swift
493,16,Diesel,5,43495,2,Automatic,20.68,1995,1995,188,20925,BMW,X1
494,19,Petrol,5,53152,1,Automatic,16.5,1353,1353,13808,18711,Kia,Seltos
495,20,Petrol,5,6213,1,Manual,1197,12873,12873,230,15794.999999999998,Mahindra,XUV300
496,19,Petrol,5,31174,1,Manual,21.01,1197,1197,8180,9274.5,Maruti,Baleno
497,20,Diesel,7,27340,1,Automatic,13.38,2993,2993,26150,132975,BMW,X7
498,22,Diesel,5,2485,1,Automatic,12.6,1950,1950,194,76612.5,Mercedes-Benz,C-Class
499,15,Petrol,5,23092,2,Manual,998,671,671,90,4293,Maruti,Wagon
500,22,Petrol,5,13050,1,Automatic,1451,141,141,250,25312.5,MG,Hector
501,18,Diesel,5,30447,1,Automatic,16.55,1995,1995,1877,52650,BMW,X3
502,11,Petrol,5,55337,2,Automatic,16.98,998,998,661,3050.9999999999995,Maruti,A-Star
503,21,Petrol,5,7456,1,Automatic,11.9,1950,1950,20115,60075,Mercedes-Benz,C-Class
504,22,Petrol,5,6835,1,Automatic,18.76,1462,1462,10326,13486.5,Maruti,Vitara
505,16,Petrol,5,45168,1,Manual,17.8,1497,1497,1173,9247.5,Honda,City
506,16,Petrol,5,29492,2,Automatic,15.63,1499,1499,1104,8545.5,Ford,Ecosport
507,22,Petrol,5,4754,1,Automatic,12.74,1991,1991,197,82350,Mercedes-Benz,GLC
508,14,Petrol,5,43090,1,Manual,17.8,1497,1497,1173,8356.5,Honda,City
509,16,Diesel,5,24854,1,Automatic,14.47,2993,2993,30173,43875,Jaguar,XJ
510,20,Petrol,5,11184,1,Automatic,15.8,1997,1997,247,108000,Land,Rover
511,11,Petrol,5,32131,1,Manual,,,,,3348,Toyota,Etios
512,20,CNG,5,24854,2,Manual,11.88,1086,1086,621,2835,Hyundai,Santro
513,16,Diesel,7,52195,1,Automatic,11,2987,2987,258,62383.5,Mercedes-Benz,GLS
514,13,Petrol,5,38780,1,Manual,998,671,671,90,3915,Maruti,Wagon
515,22,Petrol,5,14111,1,Manual,19.89,1462,1462,10165,15322.5,Maruti,Brezza
516,14,Petrol,5,56281,1,Manual,18.9,1197,1197,82,4549.5,Hyundai,Grand
517,18,Diesel,5,27340,1,Automatic,17,2987,2987,2548,59400,Mercedes-Benz,E-Class
518,17,Petrol,5,30447,1,Manual,1197,8180,8180,113,5737.5,Maruti,Swift
519,20,Petrol,5,25276,1,Manual,18.27,998,998,11835,12474,Hyundai,Venue
520,12,Petrol,5,19883,1,Manual,998,6704,6704,90,2970.0000000000005,Maruti,Wagon
521,20,Petrol,7,17087,1,Manual,19.01,1462,1462,10326,14175,Maruti,Ertiga
522,18,Petrol,5,57501,1,Manual,18.6,1197,1197,8183,7128,Hyundai,i20
523,21,Petrol,5,13048,1,Automatic,15.3,1998,1998,25479,64800,BMW,3
524,20,Petrol,5,3728,1,Manual,21.4,1197,1197,831,9382.5,Maruti,Baleno
525,16,Petrol,5,45168,1,Manual,17.8,1497,1497,1173,9247.5,Honda,City
526,16,Petrol,5,29492,2,Automatic,15.63,1499,1499,1104,8545.5,Ford,Ecosport
527,22,Petrol,5,4754,1,Automatic,12.74,1991,1991,197,82350,Mercedes-Benz,GLC
528,14,Petrol,5,43090,1,Manual,17.8,1497,1497,1173,8356.5,Honda,City
529,16,Diesel,5,24854,1,Automatic,14.47,2993,2993,30173,43875,Jaguar,XJ
530,20,Petrol,5,11184,1,Automatic,15.8,1997,1997,247,108000,Land,Rover
531,11,Petrol,5,32131,1,Manual,,,,,3348,Toyota,Etios
532,20,CNG,5,24854,2,Manual,11.88,1086,1086,621,2835,Hyundai,Santro
533,16,Diesel,7,52195,1,Automatic,11,2987,2987,258,62383.5,Mercedes-Benz,GLS
534,13,Petrol,5,38780,1,Manual,998,671,671,90,3915,Maruti,Wagon
535,22,Petrol,5,14111,1,Manual,19.89,1462,1462,10165,15322.5,Maruti,Brezza
536,14,Petrol,5,56281,1,Manual,18.9,1197,1197,82,4549.5,Hyundai,Grand
537,18,Diesel,5,27340,1,Automatic,17,2987,2987,2548,59400,Mercedes-Benz,E-Class
538,17,Petrol,5,30447,1,Manual,1197,8180,8180,113,5737.5,Maruti,Swift
539,20,Petrol,5,25276,1,Manual,18.27,998,998,11835,12474,Hyundai,Venue
540,12,Petrol,5,19883,1,Manual,998,6704,6704,90,2970.0000000000005,Maruti,Wagon
541,20,Petrol,7,17087,1,Manual,19.01,1462,1462,10326,14175,Maruti,Ertiga
542,18,Petrol,5,57501,1,Manual,18.6,1197,1197,8183,7128,Hyundai,i20
543,21,Petrol,5,13048,1,Automatic,15.3,1998,1998,25479,64800,BMW,3
544,20,Petrol,5,3728,1,Manual,21.4,1197,1197,831,9382.5,Maruti,Baleno
545,22,Petrol,7,3106,1,Automatic,1999,19713,19713,380,35775,Mahindra,XUV700
546,19,Petrol,5,10296,1,Manual,23.84,1199,1199,8383,7060.500000000001,Tata,Tiago
547,22,Petrol,5,6835,1,Manual,21.79,998,998,6705,7762.5,Maruti,Wagon
548,17,Petrol,5,24724,1,Manual,17.5,1199,1199,887,9342,Honda,WR-V
549,17,Diesel,7,85749,1,Manual,16,2179,2179,140,9382.5,Mahindra,XUV500
550,23,Petrol,5,1864,1,Automatic,8.13,3982,3982,57663,5400,Mercedes-Benz,G
551,12,Petrol,5,58518,1,Manual,1197,8850,8850,113,3604.5,Maruti,Swift
552,23,Petrol,5,6835,1,Automatic,12.5,3604,3604,420,1984.5,Porsche,Cayenne
553,19,Petrol,5,18641,1,Manual,16.1,1353,1353,138,17887.5,Kia,Seltos
554,22,Petrol,5,30816,1,Manual,18.47,1498,1498,14751,18049.5,Volkswagen,Taigun
555,12,Petrol,5,37282,1,Manual,16.47,1198,1198,739,3645.0000000000005,Volkswagen,Polo
556,16,Petrol,5,47498,1,Manual,19.4,1198,1198,868,4401,Honda,Brio
557,14,Diesel,5,46602,2,Automatic,11.74,2987,2987,2548,23962.5,Mercedes-Benz,M-Class
558,17,Petrol,5,32932,1,Automatic,21.79,998,998,6705,5332.5,Maruti,Wagon
559,17,Petrol,5,35152,1,Manual,15.29,1591,1591,1213,12568.5,Hyundai,Creta
560,18,Petrol,5,16907,1,Manual,21.01,1197,1197,8180,8100,Maruti,Baleno
561,17,Petrol,5,34796,1,Automatic,9.7,2996,2996,32855,61762.5,Mercedes-Benz,GLE
562,14,Petrol,5,38945,1,Manual,18.6,1197,1197,8183,6642,Hyundai,i20
563,23,Petrol,5,11184,1,Manual,22.35,1197,1197,8850,10125,Maruti,Baleno
564,19,Diesel,5,21747,1,Automatic,20.37,1995,1995,18774,60750,BMW,5
565,22,Petrol,7,3106,1,Automatic,1999,19713,19713,380,35775,Mahindra,XUV700
566,19,Petrol,5,10296,1,Manual,23.84,1199,1199,8383,7060.500000000001,Tata,Tiago
567,22,Petrol,5,6835,1,Manual,21.79,998,998,6705,7762.5,Maruti,Wagon
568,17,Petrol,5,24724,1,Manual,17.5,1199,1199,887,9342,Honda,WR-V
569,17,Diesel,7,85749,1,Manual,16,2179,2179,140,9382.5,Mahindra,XUV500
570,23,Petrol,5,1864,1,Automatic,8.13,3982,3982,57663,5400,Mercedes-Benz,G
571,12,Petrol,5,58518,1,Manual,1197,8850,8850,113,3604.5,Maruti,Swift
572,23,Petrol,5,6835,1,Automatic,12.5,3604,3604,420,1984.5,Porsche,Cayenne
573,19,Petrol,5,18641,1,Manual,16.1,1353,1353,138,17887.5,Kia,Seltos
574,22,Petrol,5,30816,1,Manual,18.47,1498,1498,14751,18049.5,Volkswagen,Taigun
575,12,Petrol,5,37282,1,Manual,16.47,1198,1198,739,3645.0000000000005,Volkswagen,Polo
576,16,Petrol,5,47498,1,Manual,19.4,1198,1198,868,4401,Honda,Brio
577,14,Diesel,5,46602,2,Automatic,11.74,2987,2987,2548,23962.5,Mercedes-Benz,M-Class
578,17,Petrol,5,32932,1,Automatic,21.79,998,998,6705,5332.5,Maruti,Wagon
579,17,Petrol,5,35152,1,Manual,15.29,1591,1591,1213,12568.5,Hyundai,Creta
580,18,Petrol,5,16907,1,Manual,21.01,1197,1197,8180,8100,Maruti,Baleno
581,17,Petrol,5,34796,1,Automatic,9.7,2996,2996,32855,61762.5,Mercedes-Benz,GLE
582,14,Petrol,5,38945,1,Manual,18.6,1197,1197,8183,6642,Hyundai,i20
583,23,Petrol,5,11184,1,Manual,22.35,1197,1197,8850,10125,Maruti,Baleno
584,19,Diesel,5,21747,1,Automatic,20.37,1995,1995,18774,60750,BMW,5
585,19,Diesel,5,23612,2,Automatic,13.38,2993,2993,26150,62383.5,BMW,X5
586,18,Diesel,5,68037,1,Manual,20.37,1461,1461,10849,8815.5,Renault,Captur
587,11,Petrol,5,33687,1,Manual,,,,,3442.4999999999995,Toyota,Etios
588,15,Diesel,5,27091,2,Automatic,17.11,1968,1968,17433,16065,Audi,A4
589,20,Diesel,5,18641,1,Automatic,12.6,1950,1950,194,50625,Mercedes-Benz,C-Class
590,18,Diesel,5,28110,1,Manual,25.1,1248,1248,885,9909,Maruti,SX4
591,18,Petrol,5,2236,1,Manual,22.5,999,999,67,4657.5,Datsun,RediGO
592,23,Diesel,5,22369,1,Automatic,8.13,2925,2925,28161,2767.4999999999995,Mercedes-Benz,G
593,21,Petrol,5,36716,1,Manual,21.01,1197,1197,8180,8667,Maruti,Baleno
594,12,Diesel,5,78292,1,Automatic,15.73,1968,1968,17433,8775,Audi,Q3
595,15,Petrol,5,43941,1,Manual,18.9,1197,1197,82,5211,Hyundai,Grand
596,14,Petrol,5,40389,1,Automatic,7.81,5461,5461,3629,64125,Mercedes-Benz,S-Class
597,13,Petrol,5,45413,2,Manual,17.4,1497,1497,1173,5062.5,Honda,City
598,20,Petrol,5,32118,1,Manual,17.33,1199,1199,11835,11502,Tata,Nexon
599,18,Diesel,5,30447,1,Automatic,20.68,1995,1995,188,26257.5,BMW,X1
